산업군,고객사,제품구분,재고품질상태,상태사유,사업장,제품군,창고코드,LOT NO,품번,Item desc,제품명,수량,중량,단위,거래처,부동개월,폭,두께,높이,재고생성일,창고입고일,창고경과일
전장,,반제품,,,천안,MT,403,FRM1PR16210304003,FPRM002900,MT_29*32_Rotor_KS-SCP1-S_[자]_[정]_[P],MT_29*32_Rotor_KS-SCP1-S,1728,130.08,EA,1144:보수,2,29,0.8,32,2021-03-04,2021-03-04,447
전장,,반제품,,,천안,MT,403,FRM1PR16211031002,FPRM004003,MT_40*38_Rotor_KS-SCP1-S_[자]_[정]_[P],MT_40*38_Rotor_KS-SCP1-S,580,100.61,EA,3704:비와이오토,6,40,1,38,2021-10-30,2021-10-30,207
전장,,반제품,합격,,천안,MT,D08,FRM1PR16220525002,FPRM005500,MT_55*0.5_(GBM)_Rotor_50PN 1300_[자]_[정]_[P],MT_55*0.5_(GBM)_Rotor_50PN 1300,109760,548.8,EA,1144:보수,0,55,0.5,0.5,2022-05-24,2022-05-25,00
기타,,반제품,합격,,천안,MT,404,FSM1PR14220503003,FPSM004000,MT_40*8.6_Stator_20PNF1500_[자]_[정]_[P],MT_40*8.6_Stator_20PNF1500,2120,127.9,EA,1072:PTCO,0,40,0.2,8.6,2022-05-03,2022-05-03,22
전장,,반제품,,,천안,MT,403,HRM1EF02211108001,HARM004502,MT_45.2*22.5_(TRW)_Rotor_50PN 470_[자]_[정]_[A],MT_45.2*22.5_(TRW)_Rotor_50PN 470,1748,273.34,EA,1177:이노텍,6,45.2,0.5,22.5,2021-11-07,2022-03-14,72
전장,,반제품,,,천안,MT,E08,HSM1EF02220210001,HASM008501,MT_85*76.5_(TRW)_분할 Stator_50PN 470_[자]_[정]_[A],MT_85*76.5_(TRW)_분할_Stator_50PN 470,1599,169.79,EA,1177:이노텍,3,85,0.5,76.5,2022-02-09,2022-02-10,104
전장,,반제품,합격,,천안,MT,E08,HSM1EF02220524001,HASM008503,MT_85*67.5_(OMEGA)_분할 Stator_50PN 470_[자]_[정]_[A],MT_85*67.5_(OMEGA)_분할 Stator_50PN 470,2457,244.42,EA,1177:이노텍,0,85,0.5,67.5,2022-05-24,2022-05-24,01
구동,,반제품,합격,,천안,MT,404,HSM1CB05220512001,HBSM028001,MT_280*56_(13MY)_Stator_30PNF1600_[자]_[정]_[B],MT_280*56_(13MY)_Stator_30PNF1600,600,226.86,EA,1232:모비스,0,280,0.3,56,2022-05-12,2022-05-12,13
구동,,반제품,합격,,천안,MT,404,HSM1CB05220517001,HBSM028002,MT_280*56_(13MY SET)_Stator_30PNF1600_[자]_[정]_[B],MT_280*56_(13MY SET)_Stator_30PNF1600,440,166.36,EA,1232:모비스,0,280,0.3,56,2022-05-17,2022-05-17,08
구동,,반제품,합격,,천안,MT,D08,HSM1CB04220513001,HBSM028007,MT_280*50_(LF/HEV SET)_분할 Stator_30PNF1600_[자]_[정]_[B],MT_280*50_(LF/HEV SET)_분할 Stator_30PNF1600,600,200.63,EA,1232:모비스,0,280,0.3,50,2022-05-13,2022-05-25,00
구동,,반제품,합격,,천안,MT,D08,HSM1CB03220516009,HBSM028009,MT_280*36.4_(AE-HEV SET)_분할 Stator_27PNX1350F_[자]_[정]_[B],MT_280*36.4_(AE-HEV SET)_분할 Stator_27PNX1350F,720,168.71,EA,1232:모비스,0,280,0.27,36.4,2022-05-16,2022-05-25,00
구동,,반제품,합격,,천안,MT,404,HSM1CB03220525001,HBSM028010,MT_280*36.4_(AE-HEV)_분할 Stator_27PNX1350F_[자]_[정]_[B],MT_280*36.4_(AE-HEV)_분할 Stator_27PNX1350F,720,168.71,EA,1232:모비스,0,280,0.27,36.4,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,C05,HRM1HT01220506003,HDRM013201,MT_132*70.47_(AE-EV)_Rotor_27PNX 1350F_[자]_[정]_[D],MT_132*70.47_(AE-EV)_Rotor_27PNX 1350F,21,79.3,EA,4795:Y&W모티브,0,132,0.27,70.47,2022-05-06,2022-05-06,19
구동,,반제품,합격,,천안,MT,C05,HRM1HT01220421006,HDRM013209,MT_132*70.47_(AE-EV 전환품)_Rotor_27PNX 1350F_[자]_[정]_[D],MT_132*70.47_(AE-EV)_Rotor_27PNX 1350F,250,944.1,EA,4795:Y&W모티브,1,132,0.27,70.47,2022-04-21,2022-04-21,34
구동,,반제품,합격,,천안,MT,D05,HRM1VA01220510002,HIRM013216,MT_132*70.47_(AE-EV)_TS4_Rotor_27PNX 1350F_[자]_[정]_[I],MT_132*70.47_(AE-EV)_Rotor_27PNX 1350F,45,169.94,EA,4795:Y&W모티브,0,132,0.27,70.47,2022-05-09,2022-05-10,15
구동,,반제품,,,천안,MT,388,HRMCVA01220318002,HIRM013217,MT_132*88.02_(OS-EV)_TS4_Rotor_27PNX1350F_[자]_[정]_[I],MT_132*88.02_(OS-EV)_Rotor_27PNX1350F,100,471.69,EA,4795:Y&W모티브,2,132,0.27,88.02,2022-03-17,2022-03-25,61
구동,,반제품,합격,,천안,MT,E02,HRM1EM02220525005,HIRM013221,MT_132*22.5_(NE-EV 전륜)_Rotor_25PNX1250F_[자]_[정]_[I],MT_132*22.5_(NE-EV 전륜)_Rotor_25PNX1250F,95,142.82,EA,1232:모비스,0,132,0.25,22.5,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,E02,HRM1EM02220416003,HIRM013223,MT_132*40_(RG3-EV)_Rotor_25PNX1250F_[자]_[정]_[I],MT_132*40_(RG3-EV)_Rotor_25PNX1250F,12,32.29,EA,1232:모비스,1,132,0.25,40,2022-04-15,2022-04-16,39
구동,,반제품,합격,,천안,MT,E02,HRM1EM01220524006,HIRM013227,MT_132*38.5_(NE-EV 후륜_형상변경)_Rotor_25PNX1250F_[자]_[정]_[I],MT_132*38.5_(NE-EV 후륜_형상변경)_Rotor_25PNX1250F,90,230.31,EA,1232:모비스,0,132,0.25,38.5,2022-05-24,2022-05-24,01
구동,,반제품,합격,,천안,MT,D05,HRM1DT18220520001,HIRM020014,MT_200*50_(LF/HEV)_Rotor_30PNF1600_[자]_[정]_[I],MT_200*50_(LF/HEV)_Rotor_30PNF1600,144,263.67,EA,1232:모비스,0,200,0.3,50,2022-05-20,2022-05-20,05
구동,,반제품,합격,,천안,MT,D05,HRM1DT18220329001,HIRM020022,MT_200*70_(PSEV)_Rotor_30PNF1600_[자]_[정]_[I],MT_200*70_(PSEV)_Rotor_30PNF1600,1,3.93,EA,1232:모비스,1,200,0.3,70,2022-03-29,2022-03-29,57
구동,,반제품,합격,,천안,MT,D05,HRM1VT02220525002,HIRM020030,MT_200*37.6_(CN7-HEV)_Rotor_25PNX1250F_[자]_[정]_[I],MT_200*37.6_(CN7-HEV)_Rotor_25PNX1250F,125,176.01,EA,1232:모비스,0,200,0.25,37.6,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,D05,HRM1VT02220517001,HIRM020031,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[I],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,79,110.65,EA,1232:모비스,0,200,0.27,37.2,2022-05-16,2022-05-17,08
구동,,반제품,합격,,천안,MT,D05,HRM1VT02220501002,HIRM020034,MT_200*45.2_(SG2-PHEV)_Rotor_25PNX1250F_[자]_[정]_[I],MT_200*45.2_(SG2-PHEV)_Rotor_25PNX1250F,87,147.49,EA,1232:모비스,0,200,0.25,45.2,2022-05-01,2022-05-01,24
구동,,반제품,합격,,천안,MT,D05,HRM1VT01220429001,HIRM020035,MT_200*36.4_(AE-HEV)_Rotor_27PNX1350F_[자]_[정]_[I],MT_200*36.4_(AE-HEV)_Rotor_27PNX1350F,3,3.98,EA,1232:모비스,0,200,0.27,36.4,2022-04-28,2022-04-29,26
구동,,반제품,합격,,천안,MT,D05,HRM1VT02220519002,HIRM020036,MT_200*48.2_(DN8-HEV YSM)_Rotor_27PNX1350F_[자]_[정]_[I],MT_200*48.2_(DN8-HEV YSM)_Rotor_27PNX1350F,43,77.34,EA,1232:모비스,0,200,0.27,48.2,2022-05-19,2022-05-19,06
구동,,반제품,합격,,천안,MT,D05,HSM1DT19220331021,HISM028010,MT_280*48_(DN8-HEV SET)_분할 Stator_27PNX1350F_[자]_[정]_[I],MT_280*48_(DN8-HEV SET)_분할 Stator_27PNX1350F,222,68.15,EA,1232:모비스,1,280,0.27,48,2022-03-31,2022-05-24,01
구동,,반제품,합격,,천안,MT,D05,HSM1DT19220331020,HISM028011,MT_280*48_(DN8-HEV)_분할 Stator_27PNX1350F_[자]_[정]_[I],MT_280*48_(DN8-HEV)_분할 Stator_27PNX1350F,1165,357.65,EA,1232:모비스,1,280,0.27,48,2022-03-31,2022-05-24,01
구동,,반제품,합격,,천안,MT,D05,HSM1DT22220518012,HISM028016,MT_280*37.4_(CN7-HEV SET)_분할 Stator_25PNX1250F_[자]_[정]_[I],MT_280*37.4_(CN7-HEV SET)_분할 Stator_25PNX1250F,1800,429.23,EA,1232:모비스,0,280,0.25,37.4,2022-05-18,2022-05-18,07
구동,,반제품,합격,,천안,MT,D05,HSM1DT19220512003,HISM028017,MT_280*37.4_(CN7-HEV)_분할 Stator_25PNX1250F_[자]_[정]_[I],MT_280*37.4_(CN7-HEV)_분할 Stator_25PNX1250F,1800,429.23,EA,1232:모비스,0,280,0.25,37.4,2022-05-12,2022-05-12,13
구동,,반제품,합격,,천안,ROTOR ASSY,373,HRA1MA01220517002,HORA020007,MT_200*50_(LF/HEV)_Rotor_30PNF1600_[자]_[정]_[RA],MT_200*50_(LF/HEV)_Rotor_30PNF1600,17,111.28,EA,1232:모비스,0,200,0.3,50,2022-05-16,2022-05-17,08
구동,,반제품,합격,,천안,ROTOR ASSY,373,HRA1MA01220510005,HORA020013,MT_200*56_(13MY)_Rotor_30PNF1600_[자]_[정]_[RA]_[중국],MT_200*56_(13MY)_Rotor_30PNF1600,10,65.92,EA,1232:모비스,0,200,0.3,56,2022-05-09,2022-05-10,15
구동,,반제품,합격,,천안,ROTOR ASSY,373,HRA1MA02220520008,HORA020029,MT_200*37.6_(CN7-HEV)_Rotor_25PNX1250F_[자]_[정]_[RA],MT_200*37.6_(CN7-HEV)_Rotor_25PNX1250F,40,152.48,EA,1232:모비스,0,200,0.25,37.6,2022-05-20,2022-05-20,05
구동,,반제품,합격,,천안,ROTOR ASSY,373,HRA1MA01220519002,HORA020036,MT_200*74.4_(MQ4-PHEV)_Rotor_27PNX1350F_[자]_[정]_[RA],MT_200*74.4_(MQ4-PHEV)_Rotor_27PNX1350F,60,468.5,EA,1232:모비스,0,200,0.27,74.4,2022-05-19,2022-05-19,06
구동,,반제품,,,천안,ROTOR ASSY,371,HRA1MA05220121011,HORA020038,MT_200*62.2_(MQ4-HEV 2)_Rotor_27PNX1350F_[자]_[정]_[RA],MT_200*62.2_(MQ4-HEV)_Rotor_27PNX1350F,1,6.8,EA,1232:모비스,4,200,0.27,62.2,2022-01-21,2022-01-25,120
구동,,반제품,합격,,천안,ROTOR ASSY,373,HRA1MA02220517004,HORA020042,MT_200*45.2_(SG2-PHEV)_Rotor_25PNX1250F_[자]_[정]_[RA],MT_200*45.2_(SG2-PHEV)_Rotor_25PNX1250F,16,67.83,EA,1232:모비스,0,200,0.25,45.2,2022-05-16,2022-05-17,08
구동,,반제품,합격,,천안,ROTOR ASSY,373,HRA1MA02220522002,HORA020042,MT_200*45.2_(SG2-PHEV)_Rotor_25PNX1250F_[자]_[정]_[RA],MT_200*45.2_(SG2-PHEV)_Rotor_25PNX1250F,46,195.01,EA,1232:모비스,0,200,0.25,45.2,2022-05-21,2022-05-22,03
구동,,반제품,합격,,천안,ROTOR ASSY,373,HRA1MA02220519004,HORA020046,MT_200*36.4_(AE-HEV)_Rotor_27PNX1350F_[자]_[정]_[RA],MT_200*36.4_(AE-HEV)_Rotor_27PNX1350F,60,282.1,EA,1232:모비스,0,200,0.27,36.4,2022-05-19,2022-05-19,06
구동,,반제품,합격,,천안,ROTOR ASSY,373,HRA1MA01220523005,HORA020047,MT_200*48.2_(DN8-HEV YSM)_Rotor_27PNX1350F_[자]_[정]_[RA],MT_200*48.2_(DN8-HEV YSM)_Rotor_27PNX1350F,42,243.33,EA,1232:모비스,0,200,0.27,48.2,2022-05-23,2022-05-23,02
가전,,반제품,,,천안,MT,403,HRM1PR35211108001,HPRM003803,MT_38*18.8_Rotor_20PNF1500_[자]_[정]_[P],MT_38*18.8_Rotor_20PNF1500,1444,149.85,EA,6708:VCS,6,38,0.2,18.8,2021-11-07,2021-11-07,199
전장,,반제품,,,천안,MT,E06,HRM2PR15211226001,HPRM004503,MT_45.2*25.5_(TRW)_Rotor_50PN 470_[자]_[정]_[P],MT_45.2*25.5_(TRW)_Rotor_50PN 470,4140,733.71,EA,1177:이노텍,4,45.2,0.5,25.5,2021-12-26,2022-02-16,98
전장,,반제품,합격,,천안,MT,A00101,HRM1PR19220519004,HPRM008609,MT_86*23_(TL R-EPS)_Rotor_50PN 290_[자]_[정]_[P],MT_86*23_(TL R-EPS)_Rotor_50PN 290,1296,301.06,EA,1664:도클로제,0,86,0.5,23,2022-05-19,2022-05-20,05
전장,,반제품,합격,,천안,MT,403,HRM1PR19220507008,HPRM008611,MT_86*19_(HI R)_Rotor_50PN 290_[자]_[정]_[P],MT_86*19_(HI R)_Rotor_50PN 290,827,153.03,EA,1664:도클로제,0,86,0.5,19,2022-05-07,2022-05-07,18
전장,,반제품,합격,,천안,MT,403,HRM1PR19220407007,HPRM008612,MT_86*32_(CM7 R)_Rotor_50PN 290_[자]_[정]_[P],MT_86*32_(CM7 R)_Rotor_50PN 290,16,5.05,EA,1664:도클로제,1,86,0.5,32,2022-04-07,2022-04-07,48
전장,,반제품,합격,,천안,MT,403,HRM1PR19220518002,HPRM008622,MT_86*9_(YB C)_Rotor_50PN 470_[자]_[정]_[P],MT_86*9_(YB C)_Rotor_50PN 470,1512,138.64,EA,1664:도클로제,0,86,0.5,9,2022-05-17,2022-05-18,07
전장,,반제품,합격,,천안,MT,403,HRM1PR19220518003,HPRM008622,MT_86*9_(YB C)_Rotor_50PN 470_[자]_[정]_[P],MT_86*9_(YB C)_Rotor_50PN 470,1113,102.05,EA,1664:도클로제,0,86,0.5,9,2022-05-18,2022-05-18,07
전장,,반제품,합격,,천안,MT,403,HRM1PR20220411003,HPRM009204,MT_92*13_(FED 2.0)_Rotor_50PN 400_[자]_[정]_[P],MT_92*13_(FED 2.0)_Rotor_50PN 400,162,42.19,EA,1144:보수,1,92,0.5,13,2022-04-10,2022-04-11,44
전장,,반제품,,,천안,MT,403,HRM1PR20220107007,HPRM009205,MT_92*17_(FED 2.0)_Rotor_50PN 400_[자]_[정]_[P],MT_92*17_(FED 2.0)_Rotor_50PN 400,28,9.41,EA,1144:보수,4,92,0.5,17,2022-01-06,2022-01-07,138
전장,,반제품,,,천안,MT,374,HRM1PR20220216001,HPRM009208,MT_92*19_(FED 2.0)_Rotor_50PN 400_[자]_[정]_[P],MT_92*19_(FED 2.0)_Rotor_50PN 400,30,11.22,EA,1144:보수,3,92,0.5,19,2022-02-15,2022-02-25,89
전장,,반제품,합격,,천안,MT,403,HRM1PR33220412001,HPRM009301,MT_93*31.5_Rotor_35PN 300_[자]_[정]_[P],MT_93*31.5_Rotor_35PN 300,810,860.24,EA,1275:TMC INDA,1,93,0.5,31.5,2022-04-12,2022-04-12,43
구동,,반제품,합격,,천안,MT,388,HRM1PR41220502007,HPRM013220,MT_132*70.47_(AE-EV)_Rotor_27PNX 1350F_[자]_[정]_[P],MT_132*70.47_(AE-EV)_Rotor_27PNX 1350F,1,3.78,EA,4795:Y&W모티브,0,132,0.27,70.47,2022-05-02,2022-05-04,21
구동,,반제품,합격,,천안,MT,388,HRM1PR20220524003,HPRM013221,MT_132*88.02_(OS-EV)_Rotor_27PNX1350F_[자]_[정]_[P],MT_132*88.02_(OS-EV)_Rotor_27PNX1350F,14,66.04,EA,4795:Y&W모티브,0,132,0.27,88.02,2022-05-23,2022-05-24,01
구동,,반제품,,,천안,MT,403,HRM1PR41210910003,HPRM013224,MT_132*40_(RG3-EV)_Rotor_25PNX1250F_[자]_[정]_[P],MT_132*40_(RG3-EV)_Rotor_25PNX1250F,70,180.68,EA,1232:모비스,8,132,0.25,40,2021-09-10,2021-09-10,257
구동,,반제품,,,천안,MT,374,HRM1PR45220222006,HPRM013230,MT_132*40.1_(CV e-GT 전륜)_Rotor_25PNX1250F_[자]_[정]_[P],MT_132*40.1_(CV e-GT 전륜)_Rotor_25PNX1250F,83,226.33,EA,1232:모비스,3,132,0.25,40,2022-02-21,2022-02-22,92
구동,,반제품,,,천안,MT,371,HRMCMT32211228001,HPRM013231,MT_132*37.6_(CV e-GT 후륜)_Rotor_25PNX1250F_[자]_[정]_[P],MT_132*37.6_(CV e-GT 후륜)_Rotor_25PNX1250F,24,61.35,EA,1232:모비스,4,132,0.25,37.5,2021-12-27,2021-12-28,148
구동,,반제품,합격,,천안,MT,403,HRM1PR38220420005,HPRM014003,MT_140*105_(GEN 6)_Rotor_35PN 230_[자]_[정]_[P],MT_140*105_(GEN 6)_Rotor_35PN 230,20,153.12,EA,7209:인터내셔널,1,140,0.35,105,2022-04-20,2022-04-20,35
구동,,반제품,합격,,천안,MT,403,HRM1PR38220421002,HPRM014003,MT_140*105_(GEN 6)_Rotor_35PN 230_[자]_[정]_[P],MT_140*105_(GEN 6)_Rotor_35PN 230,55,421.08,EA,7209:인터내셔널,1,140,0.35,105,2022-04-20,2022-04-21,34
구동,,반제품,,,천안,MT,A01,HRM1PR34220205001,HPRM020001,MT_200*56.0_(30KW)_Rotor_35PN 230_[자]_[정]_[P],MT_200*56.0_(30KW)_Rotor_35PN 230,70,118.58,EA,1232:모비스,3,200,0.35,57.4,2022-02-04,2022-05-18,07
구동,,반제품,,,천안,MT,C05,HRM1PR38211024008,HPRM020030,MT_200*48.2_(DN8-HEV)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*48.2_(DN8-HEV)_Rotor_27PNX1350F,90,161.87,EA,1232:모비스,7,200,0.27,48.2,2021-10-24,2022-02-16,98
구동,,반제품,합격,,천안,MT,403,HRM1PR38220524002,HPRM020031,MT_200*50_(LF/HEV)_Rotor_30PNF1600_[자]_[정]_[P],MT_200*50_(LF/HEV)_Rotor_30PNF1600,98,179.44,EA,1232:모비스,0,200,0.3,50,2022-05-24,2022-05-24,01
구동,,반제품,,,천안,MT,371,HRM1PR38220306010,HPRM020038,MT_200*62.2_(MQ4-HEV)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*62.2_(MQ4-HEV)_Rotor_27PNX1350F,120,276.65,EA,1232:모비스,2,200,0.27,62.2,2022-03-05,2022-03-25,61
구동,,반제품,합격,,천안,MT,403,HRM1PR23220521001,HPRM020038,MT_200*62.2_(MQ4-HEV)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*62.2_(MQ4-HEV)_Rotor_27PNX1350F,100,230.54,EA,1232:모비스,0,200,0.27,62.2,2022-05-20,2022-05-21,04
구동,,반제품,,,천안,MT,C05,HRM1PR38210921004,HPRM020039,MT_200*37.6_(CN7-HEV)_Rotor_25PNX1250F_[자]_[정]_[P],MT_200*37.6_(CN7-HEV)_Rotor_25PNX1250F,24,33.79,EA,1232:모비스,8,200,0.25,37.6,2021-09-20,2021-09-21,246
구동,,반제품,합격,,천안,MT,C05,HRM1PR23220511003,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,26,36.42,EA,1232:모비스,0,200,0.27,37.2,2022-05-11,2022-05-11,14
구동,,반제품,합격,,천안,MT,C05,HRM1PR23220513006,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,162,226.91,EA,1232:모비스,0,200,0.27,37.2,2022-05-13,2022-05-25,00
구동,,반제품,합격,,천안,MT,C05,HRM1PR23220513007,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,18,25.21,EA,1232:모비스,0,200,0.27,37.2,2022-05-13,2022-05-25,00
구동,,반제품,합격,,천안,MT,C05,HRM1PR23220513008,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,180,252.12,EA,1232:모비스,0,200,0.27,37.2,2022-05-13,2022-05-25,00
구동,,반제품,합격,,천안,MT,C05,HRM1PR23220514003,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,180,252.12,EA,1232:모비스,0,200,0.27,37.2,2022-05-14,2022-05-15,10
구동,,반제품,합격,,천안,MT,C05,HRM1PR23220515002,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,106,148.47,EA,1232:모비스,0,200,0.27,37.2,2022-05-14,2022-05-15,10
구동,,반제품,합격,,천안,MT,403,HRM1PR23220525001,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,180,252.12,EA,1232:모비스,0,200,0.27,37.2,2022-05-24,2022-05-25,00
구동,,반제품,합격,,천안,MT,403,HRM1PR23220525002,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,65,91.04,EA,1232:모비스,0,200,0.27,37.2,2022-05-24,2022-05-25,00
구동,,반제품,합격,,천안,MT,403,HRM1PR23220525003,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,115,161.08,EA,1232:모비스,0,200,0.27,37.2,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,403,HRM1PR23220525004,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,180,252.12,EA,1232:모비스,0,200,0.27,37.2,2022-05-25,2022-05-25,00
구동,,반제품,합격,,천안,MT,403,HRM1PR23220525005,HPRM020040,MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV A)_Rotor_27PNX1350F,107,149.87,EA,1232:모비스,0,200,0.27,37.2,2022-05-25,2022-05-25,00
구동,,반제품,,,천안,MT,371,HRM1PR23220304006,HPRM020041,MT_200*37.2_(MQ4-PHEV B)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV B)_Rotor_27PNX1350F,94,131.66,EA,1232:모비스,2,200,0.27,37.2,2022-03-04,2022-03-25,61
구동,,반제품,합격,,천안,MT,C05,HRM1PR23220424004,HPRM020041,MT_200*37.2_(MQ4-PHEV B)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV B)_Rotor_27PNX1350F,1,1.4,EA,1232:모비스,1,200,0.27,37.2,2022-04-24,2022-05-02,23
구동,,반제품,합격,,천안,MT,C05,HRM1PR23220506002,HPRM020041,MT_200*37.2_(MQ4-PHEV B)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV B)_Rotor_27PNX1350F,2,2.8,EA,1232:모비스,0,200,0.27,37.2,2022-05-06,2022-05-06,19
구동,,반제품,합격,,천안,MT,C05,HRM1PR23220508004,HPRM020041,MT_200*37.2_(MQ4-PHEV B)_Rotor_27PNX1350F_[자]_[정]_[P],MT_200*37.2_(MQ4-PHEV B)_Rotor_27PNX1350F,20,28.01,EA,1232:모비스,0,200,0.27,37.2,2022-05-08,2022-05-08,17
구동,,반제품,,,천안,MT,374,HRM1PR38220222005,HPRM020042,MT_200*45.2_(SG2-PHEV)_Rotor_25PNX1250F_[자]_[정]_[P],MT_200*45.2_(SG2-PHEV)_Rotor_25PNX1250F,20,33.9,EA,1232:모비스,3,200,0.25,45.2,2022-02-21,2022-04-26,29
